lat,long,tbs-pasto,ur-pasto,tpo-pasto,tbs-sombra,ur-sombra,tpo-sombra,posicao,local,classe
-8.61952,-36.61298,33365,35856,16527,35797,28437,14699,1,0,2
-8.61936,-36.61315,33495,36751,17037,34413,30156,14425,1,0,1
-8.61936,-36.6132,33495,36751,17037,34413,30156,14425,1,0,1
-8.6194,-36.61328,32175,37096,16020,32381,33511,14299,1,0,1
-8.61947,-36.61336,31128,38740,15779,32175,33813,14258,1,0,2
-8.61936,-36.61327,31128,38740,15779,32175,33813,14258,1,0,2
-8.6194,-36.61317,32175,37096,16020,32768,33081,14436,1,0,2
-8.61953,-36.61298,32227,37641,16298,31893,34108,14146,1,0,1
-8.61954,-36.61308,32227,37641,16298,31893,34108,14146,1,0,2
-8.61952,-36.61316,31868,38144,16190,30722,35449,13715,1,0,1
-8.61951,-36.61307,31179,38343,15662,29991,35907,13269,1,0,1
-8.61955,-36.61298,31179,38343,15662,29991,35907,13269,1,0,1
-8.61954,-36.61299,29464,39371,14552,28196,39472,13131,1,0,1
-8.61955,-36.61296,28369,41541,14407,27161,42218,13236,1,0,1
-8.61956,-36.61296,28369,41541,14407,27161,42218,13236,1,0,1
-8.61944,-36.61315,27702,43013,14346,26256,45125,13441,1,0,2
-8.61941,-36.61318,26158,46896,14275,24798,50552,13858,1,0,1
-8.61944,-36.6133,26158,46896,14275,24798,50552,13858,0,0,0
-8.61948,-36.61309,24895,52258,14767,23905,56072,14634,0,0,0
-8.61957,-36.61293,24146,55857,15081,23256,59681,14996,0,0,0
-8.61959,-36.61293,24146,55857,15081,23256,59681,14996,0,0,0
-8.61961,-36.61338,23593,58442,15246,22729,61312,14919,0,0,0
-8.61949,-36.61304,23040,60354,15210,22202,63570,14984,0,0,0
-8.61954,-36.61343,23040,60354,15210,22202,63570,14984,0,0,0
-8.61953,-36.61336,22417,62052,15037,21652,65231,14864,0,0,0
-8.61963,-36.61321,21963,63732,15004,21246,67207,14942,0,0,0
-8.61959,-36.61318,21963,63732,15004,21246,67207,14942,0,0,0
-8.61952,-36.61313,21557,65196,14954,20841,70049,15199,1,0,2
-8.61949,-36.61306,21199,66418,14888,20388,72568,15315,1,0,2
-8.61959,-36.61311,21199,66418,14888,20388,72568,15315,1,0,2
-8.61963,-36.61314,20817,67687,14802,19984,74719,15380,1,0,2
-8.61941,-36.61311,20460,68863,14712,19651,76311,15387,1,0,2
-8.61955,-36.61307,20460,68863,14712,19651,76311,15387,1,0,2
-8.61981,-36.61325,20150,70215,14699,19365,77625,15377,1,0,2
-8.61957,-36.61317,19841,71296,14624,19103,79212,15438,1,0,2
-8.61949,-36.61333,19841,71296,14624,19103,79212,15438,1,0,2
-8.61956,-36.61318,19627,73025,14765,18842,80953,15523,1,0,2
-8.61952,-36.61313,19389,74334,14792,18628,82147,15543,1,0,2
-8.61957,-36.6131,19389,74334,14792,18628,82147,15543,0,0,1
-8.6196,-36.61306,19151,75462,14779,18366,83364,15517,1,0,1
-8.61976,-36.61314,18889,76805,14779,18081,84191,15391,1,0,1
-8.61969,-36.61322,18889,76805,14779,18081,84191,15391,1,0,1
-8.61974,-36.61302,18628,77574,14667,17915,84497,15284,1,0,2
-8.61972,-36.61304,18414,78235,14580,17772,84562,15156,1,0,2
-8.6197,-36.61308,18414,78235,14580,17772,84562,15156,1,0,1
-8.6197,-36.61309,18247,78482,14463,17653,84535,15035,1,0,1
-8.61971,-36.61306,18105,78621,14349,17582,84763,15007,1,0,1
-8.61971,-36.61307,18105,78621,14349,17582,84763,15007,1,0,2
-8.61966,-36.61312,17986,78737,14254,17415,85406,14961,1,0,1
-8.61952,-36.61311,17891,79166,14238,17249,85924,14891,1,0,2
-8.61952,-36.61311,17891,79166,14238,17249,85924,14891,1,0,2
-8.61966,-36.61312,17772,79393,14163,17130,86113,14808,1,0,1
-8.61966,-36.61312,17653,79675,14097,17201,85720,14807,1,0,1
-8.61952,-36.61311,17653,79675,14097,17201,85720,14807,1,0,2
-8.61952,-36.61311,17605,79805,14073,17225,85362,14766,1,0,2
-8.61966,-36.61312,17582,79995,14084,17058,85565,14639,1,0,1
-8.61966,-36.61312,17582,79995,14084,17058,85565,14639,1,0,1
-8.61959,-36.61312,18937,80259,15456,18438,86228,16115,0,0,0
